"Date","Price","Open","High","Low","Vol.","Change %"
"12/29/2023","1,842.47","1,839.39","1,850.46","1,831.85","","0.17%"
"12/28/2023","1,839.36","1,833.06","1,840.69","1,831.81","","-0.18%"
"12/27/2023","1,842.74","1,832.29","1,844.75","1,831.54","","1.12%"
"12/26/2023","1,822.26","1,822.80","1,823.54","1,815.13","","0.04%"
"12/25/2023","1,821.57","1,833.50","1,833.50","1,819.89","","0.09%"
"12/22/2023","1,820.00","1,816.38","1,829.32","1,815.04","","0.41%"
"12/21/2023","1,812.51","1,812.82","1,816.87","1,807.32","","-1.01%"
"12/20/2023","1,831.03","1,824.77","1,841.33","1,824.29","","0.71%"
"12/19/2023","1,818.12","1,804.96","1,820.25","1,794.51","","0.72%"
"12/18/2023","1,805.17","1,803.87","1,806.29","1,788.58","","-0.68%"
"12/15/2023","1,817.52","1,811.62","1,825.53","1,810.57","","0.49%"
"12/14/2023","1,808.67","1,830.38","1,834.65","1,801.06","","-1.48%"
"12/13/2023","1,835.78","1,838.53","1,841.94","1,829.24","","0.07%"
"12/12/2023","1,834.58","1,848.74","1,849.74","1,833.62","","-0.21%"
"12/11/2023","1,838.50","1,827.74","1,841.90","1,826.27","","1.48%"
"12/08/2023","1,811.77","1,826.38","1,829.55","1,805.90","","-1.51%"
"12/07/2023","1,839.47","1,847.00","1,849.22","1,834.75","","-1.14%"
"12/06/2023","1,860.62","1,831.26","1,862.25","1,830.39","","1.91%"
"12/05/2023","1,825.82","1,836.28","1,841.69","1,822.29","","-0.79%"
"12/04/2023","1,840.38","1,848.12","1,848.21","1,829.00","","-0.91%"
"12/01/2023","1,857.32","1,859.09","1,861.11","1,853.21","","0.35%"
"11/30/2023","1,850.90","1,840.33","1,850.90","1,833.55","","0.44%"
"11/29/2023","1,842.86","1,844.20","1,852.47","1,837.83","","-0.53%"
"11/28/2023","1,852.60","1,860.53","1,861.26","1,846.03","","-0.27%"
"11/27/2023","1,857.62","1,868.29","1,872.50","1,853.99","","-0.40%"
"11/24/2023","1,865.17","1,870.25","1,871.32","1,863.85","","0.55%"
"11/22/2023","1,854.98","1,840.32","1,861.63","1,839.95","","0.43%"
"11/21/2023","1,847.08","1,851.90","1,852.58","1,838.20","","-0.27%"
"11/20/2023","1,852.05","1,865.74","1,877.61","1,848.31","","-0.79%"
"11/17/2023","1,866.78","1,843.18","1,866.78","1,842.53","","0.92%"
"11/16/2023","1,849.70","1,848.28","1,861.25","1,842.19","","-0.14%"
"11/15/2023","1,852.25","1,848.93","1,854.81","1,844.27","","1.23%"
"11/14/2023","1,829.81","1,834.31","1,836.93","1,829.31","","0.40%"
"11/13/2023","1,822.46","1,832.96","1,834.23","1,817.74","","0.03%"
"11/10/2023","1,821.93","1,810.36","1,823.16","1,803.92","","0.04%"
"11/09/2023","1,821.17","1,803.17","1,825.21","1,793.84","","1.29%"
"11/08/2023","1,798.04","1,824.51","1,824.87","1,790.63","","-1.13%"
"11/07/2023","1,818.67","1,836.57","1,838.65","1,817.24","","-1.21%"
"11/06/2023","1,840.86","1,833.98","1,847.47","1,830.19","","1.66%"
"11/02/2023","1,810.76","1,818.52","1,823.61","1,805.15","","0.53%"
"11/01/2023","1,801.19","1,780.29","1,802.64","1,779.14","","2.65%"
"10/31/2023","1,754.66","1,746.81","1,760.82","1,738.32","","0.94%"
"10/30/2023","1,738.26","1,738.55","1,743.95","1,731.30","","-1.01%"
"10/27/2023","1,755.92","1,740.30","1,757.85","1,737.25","","1.30%"
"10/26/2023","1,733.35","1,743.49","1,749.53","1,727.98","","-1.37%"
"10/25/2023","1,757.49","1,758.90","1,768.77","1,754.46","","0.64%"
"10/24/2023","1,746.27","1,751.37","1,752.69","1,713.10","","0.03%"
"10/23/2023","1,745.67","1,750.52","1,756.57","1,745.67","","-0.71%"
"10/20/2023","1,758.10","1,752.12","1,767.64","1,748.23","","-0.39%"
"10/19/2023","1,764.97","1,766.14","1,775.88","1,760.12","","-1.39%"
"10/18/2023","1,789.78","1,790.55","1,792.29","1,777.92","","0.09%"
"10/17/2023","1,788.19","1,793.01","1,802.28","1,780.09","","0.82%"
"10/16/2023","1,773.57","1,784.85","1,787.47","1,767.95","","-1.52%"
"10/13/2023","1,800.97","1,812.29","1,817.85","1,797.01","","-1.41%"
"10/12/2023","1,826.74","1,809.59","1,827.40","1,809.45","","1.53%"
"10/11/2023","1,799.17","1,803.40","1,808.60","1,798.02","","-0.13%"
"10/10/2023","1,801.57","1,781.10","1,804.87","1,781.00","","2.16%"
"10/06/2023","1,763.56","1,764.38","1,775.00","1,758.35","","-0.04%"
